tip_names	date
hCoV-19_USA_NY-PRL-2021_0408_00B11	2021-04-07
hCoV-19_USA_CA-CDC-FG-020363	2021-04-11
hCoV-19_USA_CT-Yale-3486	2021-04-06
hCoV-19_England_CAMC-1507DFB	2021-04-17
hCoV-19_England_MILK-150A860	2021-04-15
hCoV-19_USA_IL-CDC-ASC210025244	2021-03-27
hCoV-19_USA_IL-CDC-QDX23572527	2021-04-01
hCoV-19_USA_KY-CDC-LC0032738	2021-03-19
hCoV-19_USA_IL-C21WGS0091	2021-03-28
hCoV-19_USA_CT-JAX-JAX000665	2021-03-31
hCoV-19_USA_NY-PRL-03_05_02F13	2021-03-03
hCoV-19_USA_CT-CDC-QDX23678262	2021-04-05
hCoV-19_USA_NY-PRL-2021_0210_07H07	2021-02-09
hCoV-19_USA_NY-PRL-2021_03_22_01B15	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_29_00P17	2021-03-25
hCoV-19_USA_NY-PRL-2021_03_22_01B18	2021-03-20
hCoV-19_USA_NY-PRL-2021_0405_02J21	2021-04-02
hCoV-19_USA_NY-Wadsworth-21028272-01	2021-02-26
hCoV-19_USA_NY-Wadsworth-21023712-01	2021-02-09
hCoV-19_USA_NY-PRL-2021_0210_06G09	2021-02-09
hCoV-19_USA_NY-Wadsworth-21012095-01	2021-01-16
hCoV-19_USA_NY-PRL-2021_0202_00D03	2021-01-30
hCoV-19_USA_NY-PRL-2021_02_22_00A21	2021-02-19
hCoV-19_USA_NY-Wadsworth-21015727-01	2021-01-25
hCoV-19_USA_NY-Wadsworth-21012130-01	2021-01-14
hCoV-19_USA_NY-Wadsworth-21033011-01	2021-02-28
hCoV-19_USA_NY-CDC-IBX397231166603	2021-03-26
hCoV-19_USA_NJ-CDC-ASC210010659	2021-03-18
hCoV-19_USA_NJ-CDC-IBX427166232743	2021-03-25
hCoV-19_USA_NJ-CDC-IBX102131888476	2021-03-25
hCoV-19_USA_NJ-CDC-LC0033706	2021-03-19
hCoV-19_USA_NJ-CDC-IBX798687814620	2021-03-27
hCoV-19_USA_NJ-PHEL-21-9981	2021-04-08
hCoV-19_USA_NJ-PHEL-21-8195	2021-03-17
hCoV-19_USA_NY-Wadsworth-21018168-01	2021-01-30
hCoV-19_USA_NY-PRL-2021_03_03_00E01	2021-03-01
hCoV-19_USA_CT-Yale-1791	2021-02-22
hCoV-19_USA_CT-Yale-1821	2021-02-22
hCoV-19_USA_NY-Wadsworth-21012205-01	2021-01-18
hCoV-19_USA_NY-PRL-2021_03_25_00F11	2021-03-24
hCoV-19_USA_PA-CDC-STM-000047332	2021-03-31
hCoV-19_USA_NY-PRL-03_09_01M19	2021-03-06
hCoV-19_Singapore_234	2021-02-26
hCoV-19_USA_NY-Wadsworth-21026015-01	2021-02-19
hCoV-19_USA_NY-Wadsworth-21032733-01	2021-03-09
hCoV-19_USA_NY-NYCPHL-003642	2021-03-01
hCoV-19_USA_NY-NYULH889	2021-03-11
hCoV-19_USA_NY-PRL-2021_03_29_00D17	2021-03-23
hCoV-19_USA_NY-PRL-2021_03_22_00M13	2021-03-19
hCoV-19_USA_NY-PRL-2021_02_19_01F01	2021-02-17
hCoV-19_USA_NY-PRL-2021_0406_00M11	2021-04-05
hCoV-19_USA_NY-PRL-2021_0407_00M05	2021-04-05
hCoV-19_USA_NY-PRL-2021_03_16_00O08	2021-03-15
hCoV-19_USA_NJ-CDC-IBX227027238293	2021-03-19
hCoV-19_USA_CT-JAX-JAX000680	2021-03-31
hCoV-19_USA_NY-PRL-2021_0406_00K09	2021-04-05
hCoV-19_USA_NY-Wadsworth-21023218-01	2021-02-13
hCoV-19_USA_CT-CDCBI-CRSP_01598	2021-03-20
hCoV-19_USA_CT-Yale-1992	2021-02-22
hCoV-19_USA_CT-Yale-2744	2021-03-20
hCoV-19_USA_CT-Yale-2511	2021-03-12
hCoV-19_USA_NY-PRL-2021_03_01_01G01	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_22_00F12	2021-03-19
hCoV-19_USA_NY-CDC-QDX23235464	2021-03-21
hCoV-19_USA_CT-Yale-3511	2021-04-05
hCoV-19_USA_CT-CDC-LC0040937	2021-04-07
hCoV-19_USA_NY-PRL-2021_02_12_03A03	2021-02-10
hCoV-19_USA_NJ-CDC-ASC210019399	2021-03-25
hCoV-19_USA_NY-Wadsworth-21011003-01	2021-01-14
hCoV-19_USA_NY-PRL-2021_02_15_02A01	2021-02-12
hCoV-19_USA_NY-PRL-2021_03_31_00F08	2021-03-28
hCoV-19_USA_NJ-PHEL-21-7036	2021-03-11
hCoV-19_USA_NY-Wadsworth-21021171-01	2021-02-04
hCoV-19_USA_NY-CDC-2-4084443	2021-03-15
hCoV-19_USA_CT-JAX-JAX000736	2021-03-29
hCoV-19_Poland_WGS-CoV-PZH-UMB-0522	2021-03-31
hCoV-19_USA_CT-CDC-QDX23678230	2021-04-05
hCoV-19_USA_CT-CDC-QDX23678229	2021-04-05
hCoV-19_USA_CT-Yale-3126	2021-03-26
hCoV-19_USA_CT-Yale-3131	2021-03-26
hCoV-19_USA_NY-CDC-LC0036435	2021-03-28
hCoV-19_USA_OH-NYULH1135	2021-04-04
hCoV-19_USA_NY-Wadsworth-21032722-01	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_29_04F22	2021-03-24
hCoV-19_USA_CT-JAX-JAX000399	2021-03-17
hCoV-19_USA_NY-Wadsworth-21013513-01	2021-01-21
hCoV-19_USA_NY-PRL-2021_03_18_00I21	2021-03-16
hCoV-19_USA_NY-PRL-2021_0406_00A11	2021-04-03
hCoV-19_USA_CT-JAX-JAX000387	2021-03-16
hCoV-19_USA_NY-CDC-IBX094158181218	2021-03-29
hCoV-19_USA_NY-Wadsworth-21004959-01	2020-12-28
hCoV-19_USA_NY-Wadsworth-21001699-01	2020-12-18
hCoV-19_USA_NY-PRL-2021_02_19_00F03	2021-02-16
hCoV-19_USA_NY-PRL-2021_03_11_00E06	2021-03-08
hCoV-19_USA_NY-PRL-2021_03_12_00J19	2021-03-11
hCoV-19_USA_NY-PRL-2021_03_15_00K08	2021-03-12
hCoV-19_USA_NY-PRL-2021_03_15_01I24	2021-03-14
hCoV-19_USA_NY-PRL-2021_03_15_00F16	2021-03-12
hCoV-19_USA_NY-PRL-2021_03_22_01D22	2021-03-20
hCoV-19_USA_NY-PRL-2021_03_15_01G03	2021-03-13
hCoV-19_USA_NY-PRL-2021_03_15_00N17	2021-03-12
hCoV-19_USA_NY-PRL-2021_02_17_00B03	2021-02-14
hCoV-19_USA_NY-PRL-2021_03_22_01F02	2021-03-20
hCoV-19_USA_NJ-CDC-LC0034291	2021-03-17
hCoV-19_USA_NY-PRL-2021_03_12_00L11	2021-03-11
hCoV-19_USA_NY-PRL-2021_03_15_01N16	2021-03-13
hCoV-19_USA_NY-PRL-2021_03_15_00K21	2021-03-12
hCoV-19_USA_NY-PRL-2021_03_12_00C12	2021-03-09
hCoV-19_USA_NY-PRL-2021_03_02_00O09	2021-03-01
hCoV-19_USA_NY-PRL-2021_03_12_00K08	2021-03-09
hCoV-19_USA_NY-PRL-2021_03_11_00I02	2021-03-09
hCoV-19_USA_NY-PRL-2021_03_12_00O11	2021-03-10
hCoV-19_USA_NY-PRL-2021_03_12_00O20	2021-03-11
hCoV-19_USA_CT-Yale-2466	2021-03-11
hCoV-19_USA_CT-Yale-2559	2021-03-13
hCoV-19_USA_NJ-CDC-LC0035979	2021-03-26
hCoV-19_USA_NY-PRL-2021_0412_02E04	2021-04-09
hCoV-19_USA_MS-UMMC-M487A11-504731	2021-04-01
hCoV-19_USA_MS-UMMC-S301B4-504721	2021-04-08
hCoV-19_USA_NY-PRL-2021_0412_01H01	2021-04-10
hCoV-19_USA_NY-PRL-2021_0405_02O19	2021-04-01
hCoV-19_USA_KY-CDC-ASC210020174	2021-03-24
hCoV-19_USA_NY-NYULH623	2021-03-01
hCoV-19_USA_NY-Wadsworth-21031413-01	2021-03-04
hCoV-19_USA_CT-JAX-JAX000313	2021-03-15
hCoV-19_USA_NY-Wadsworth-21021113-01	2021-02-04
hCoV-19_USA_NY-Wadsworth-21011011-01	2021-01-14
hCoV-19_USA_NY-PRL-2021_0413_00M04	2021-04-12
hCoV-19_USA_CT-CDC-LC0040601	2021-04-05
hCoV-19_USA_NY-CDC-ASC210042315	2021-04-02
hCoV-19_USA_SD-CDC-LC0031952	2021-03-14
hCoV-19_USA_CA-CDC-FG-018109	2021-04-05
hCoV-19_USA_LA-CDC-ASC210017586	2021-03-24
hCoV-19_USA_NJ-CDC-LC0036189	2021-03-25
hCoV-19_USA_NY-PRL-2021_0408_00L08	2021-04-06
hCoV-19_USA_CT-Yale-3559	2021-04-06
hCoV-19_USA_NY-PRL-2021_0412_02O09	2021-04-09
hCoV-19_USA_NY-21-CoV-1794-VTM2-CEUG260	2021-02-26
hCoV-19_USA_NY-Wadsworth-21015473-01	2021-01-21
hCoV-19_USA_NY-PRL-2021_03_02_00C23	2021-02-28
hCoV-19_USA_NY-PRL-2021_03_29_02I05	2021-03-26
hCoV-19_USA_NY-NYCPHL-003202	2021-02-06
hCoV-19_USA_NJ-CDC-ASC210007509	2021-03-15
hCoV-19_USA_NY-PRL-2021_02_26_00O15	2021-02-23
hCoV-19_USA_CT-JAX-JAX000847	2021-04-06
hCoV-19_USA_CT-JAX-JAX000560	2021-03-23
hCoV-19_USA_CT-JAX-JAX000552	2021-03-25
hCoV-19_USA_CT-JAX-JAX000390	2021-03-17
hCoV-19_USA_CT-JAX-JAX000598	2021-03-25
hCoV-19_USA_CT-JAX-JAX000347	2021-03-16
hCoV-19_USA_CT-JAX-JAX000532	2021-03-28
hCoV-19_USA_CT-JAX-JAX000579	2021-03-21
hCoV-19_USA_CT-JAX-JAX000597	2021-03-24
hCoV-19_USA_NY-21-CoV-1592-VTM1-AFFV338	2021-02-21
hCoV-19_USA_CT-JAX-JAX000334	2021-03-16
hCoV-19_USA_NY-PRL-2021_03_01_01D04	2021-02-26
hCoV-19_USA_NY-PRL-2021_0408_00D23	2021-04-06
hCoV-19_USA_NY-PRL-2021_0412_00J08	2021-04-08
hCoV-19_USA_CT-JAX-JAX000927	2021-04-06
hCoV-19_USA_CT-Yale-3146	2021-03-26
hCoV-19_USA_NY-PRL-2021_0408_00I19	2021-04-06
hCoV-19_USA_NY-PRL-2021_03_29_04A22	2021-03-26
hCoV-19_USA_NY-PRL-2021_0413_00A05	2021-04-09
hCoV-19_USA_NY-PRL-2021_03_29_01P11	2021-03-27
hCoV-19_USA_CT-Yale-3149	2021-03-25
hCoV-19_USA_NY-PRL-2021_04_01_00F23	2021-03-29
hCoV-19_USA_MS-UMMC-M442E1-500261	2021-03-09
hCoV-19_USA_NY-PRL-2021_0409_00L14	2021-04-07
hCoV-19_USA_CT-Yale-3111	2021-03-24
hCoV-19_USA_NY-Wadsworth-21020827-01	2021-02-08
hCoV-19_USA_NY-PRL-2021_03_29_02N04	2021-03-26
hCoV-19_USA_CT-CDC-STM-000042782	2021-03-20
hCoV-19_USA_CT-CDC-STM-000045538	2021-03-27
hCoV-19_USA_CT-CDC-STM-000046273	2021-03-30
hCoV-19_USA_CT-JAX-JAX000401	2021-03-18
hCoV-19_USA_NY-PRL-2021_03_12_00B17	2021-03-09
hCoV-19_USA_CT-Yale-3222	2021-03-27
hCoV-19_USA_CT-Yale-2719	2021-03-20
hCoV-19_USA_IL-CDC-LC0035803	2021-03-24
hCoV-19_USA_CT-CDC-STM-000045015	2021-03-28
hCoV-19_USA_CT-CDC-LC0040877	2021-04-08
hCoV-19_USA_CT-CDC-STM-000042793	2021-03-20
hCoV-19_USA_CT-Yale-2698	2021-03-18
hCoV-19_USA_CT-CDC-STM-000038695	2021-03-16
hCoV-19_USA_NY-PRL-2021_0412_02N19	2021-04-09
hCoV-19_USA_NY-PRL-2021_03_29_04E08	2021-03-25
hCoV-19_USA_VA-CDC-LC0034723	2021-03-20
hCoV-19_USA_NY-CDC-ASC210009553	2021-03-25
hCoV-19_USA_NJ-CDC-ASC210011084	2021-03-18
hCoV-19_USA_NY-PRL-2021_03_15_00A10	2021-03-12
hCoV-19_USA_NY-NYULH800	2021-03-04
hCoV-19_USA_NY-PRL-2021_0416_00P06	2021-04-14
hCoV-19_USA_NY-Wadsworth-21031390-01	2021-03-02
hCoV-19_USA_NY-CDC-LC0034258	2021-03-17
hCoV-19_USA_CT-CDCBI-CRSP_01585	2021-03-20
hCoV-19_USA_NY-PRL-2021_0405_02D18	2021-04-01
hCoV-19_USA_NY-PRL-2021_03_31_00K24	2021-03-29
hCoV-19_USA_NY-Wadsworth-21030351-01	2021-03-04
hCoV-19_USA_CA-CDC-FG-020918	2021-04-07
hCoV-19_USA_CO-CDPHE-2100528379	2021-03-02
hCoV-19_USA_GA-CDC-LC0037381	2021-03-29
hCoV-19_USA_SC-CDC-2-4176923	2021-03-26
hCoV-19_USA_NY-PRL-2021_0406_00N13	2021-04-05
hCoV-19_USA_NY-PRL-2021_04_01_00J01	2021-03-29
hCoV-19_USA_NJ-CDC-ASC210009049	2021-03-16
hCoV-19_USA_NY-PRL-2021_02_17_01C22	2021-02-14
hCoV-19_USA_NY-PRL-2021_02_17_01D22	2021-02-15
hCoV-19_USA_NY-PRL-2021_0405_02N22	2021-04-04
hCoV-19_USA_NJ-PHEL-21-8156	2021-03-11
hCoV-19_USA_NJ-CDC-LC0042718	2021-04-02
hCoV-19_USA_SC-CDC-LC0031823	2021-03-15
hCoV-19_USA_NY-Wadsworth-21017987-01	2021-01-24
hCoV-19_USA_NJ-PHEL-P21-10736	2021-03-20
hCoV-19_USA_NJ-PHEL-P21-10737	2021-03-20
hCoV-19_USA_NJ-CDC-ASC210009414	2021-03-17
hCoV-19_USA_NJ-CDC-LC0036833	2021-03-28
hCoV-19_USA_NJ-CDC-ASC210006634	2021-03-14
hCoV-19_USA_NJ-CDC-ASC210005251	2021-03-10
hCoV-19_USA_NJ-CDC-ASC210015314	2021-03-22
hCoV-19_USA_NY-PRL-2021_03_23_00M14	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_01_00P17	2021-02-26
hCoV-19_USA_NY-Wadsworth-21041758-01	2021-04-05
hCoV-19_USA_NY-PRL-2021_03_29_02K17	2021-03-26
hCoV-19_USA_NY-PRL-2021_02_19_01F13	2021-02-17
hCoV-19_USA_NJ-CDC-ASC210014957	2021-03-20
hCoV-19_USA_NY-PRL-2021_0414_00M15	2021-04-12
hCoV-19_USA_NY-NYULH922	2021-03-17
hCoV-19_USA_NY-NYCPHL-003108	2021-02-08
hCoV-19_USA_OH-CDC-LC0034158	2021-03-16
hCoV-19_USA_NY-NYULH468	2021-02-20
hCoV-19_USA_NY-PRL-2021_03_11_00L06	2021-03-09
hCoV-19_USA_NY-PRL-2021_0405_01K08	2021-04-03
hCoV-19_USA_NY-Wadsworth-21036665-01	2021-03-18
hCoV-19_USA_NY-CDC-ASC210040840	2021-04-01
hCoV-19_USA_CT-Yale-2853	2021-03-21
hCoV-19_USA_NY-NYCPHL-004025	2021-03-22
hCoV-19_USA_NY-PRL-2021_03_29_01H19	2021-03-24
hCoV-19_USA_NJ-CDC-ASC210025198	2021-03-28
hCoV-19_USA_CT-JAX-JAX000605	2021-03-25
hCoV-19_USA_CT-Yale-1456	2021-02-10
hCoV-19_Japan_IC-0790	2021-02-08
hCoV-19_USA_CT-JAX-JAX000906	2021-04-08
hCoV-19_USA_NY-PRL-2021_03_29_01L05	2021-03-24
hCoV-19_USA_NY-CDC-LC0036253	2021-03-25
hCoV-19_USA_NY-NYULH1140	2021-03-30
hCoV-19_USA_NJ-CDC-IBX474896105152	2021-03-23
hCoV-19_USA_GA-CDC-STM-000046907	2021-03-29
hCoV-19_USA_NY-Wadsworth-21007543-01	2021-01-02
hCoV-19_USA_NY-CDC-LC0036730	2021-03-23
hCoV-19_USA_CT-CDC-FG-017059	2021-03-24
hCoV-19_USA_NY-CDC-ASC210006096	2021-03-13
hCoV-19_USA_NY-Wadsworth-21036006-01	2021-03-21
hCoV-19_USA_NY-CDC-QDX23572178	2021-03-27
hCoV-19_USA_NY-NYCPHL-003733	2021-03-05
hCoV-19_USA_NY-PRL-2021_0405_00H01	2021-03-30
hCoV-19_USA_NY-PRL-2021_02_17_00M04	2021-02-15
hCoV-19_USA_NY-CDC-ASC210019110	2021-03-24
hCoV-19_USA_NY-CDC-LC0033029	2021-03-16
hCoV-19_USA_NY-CDC-QDX23235867	2021-03-21
hCoV-19_USA_NY-CDC-IBX196570535020	2021-03-29
hCoV-19_USA_CT-Yale-3496	2021-04-05
hCoV-19_USA_CT-Yale-3059	2021-03-24
hCoV-19_USA_CT-Yale-3074	2021-03-24
hCoV-19_USA_CT-Yale-3208	2021-03-26
hCoV-19_USA_CT-Yale-3226	2021-03-28
hCoV-19_USA_NY-PRL-2021_03_22_01F19	2021-03-20
hCoV-19_USA_CT-CDC-ASC210013763	2021-03-20
hCoV-19_USA_NY-PRL-2021_0414_00C23	2021-04-12
hCoV-19_USA_NY-PRL-2021_03_01_00G22	2021-02-25
hCoV-19_USA_NY-PRL-2021_03_25_00F23	2021-03-24
hCoV-19_USA_NY-CDC-QDX23235818	2021-03-27
hCoV-19_USA_NY-21-CoV-1754-VTM1-CGJG892	2021-02-28
hCoV-19_USA_NY-PRL-2021_03_31_00J23	2021-03-28
hCoV-19_USA_CT-Yale-2786	2021-03-21
hCoV-19_USA_CT-Yale-3070	2021-03-24
hCoV-19_USA_CT-Yale-3065	2021-03-24
hCoV-19_USA_NY-PRL-2021_0406_00E15	2021-04-02
hCoV-19_USA_NY-PRL-2021_03_23_01D01	2021-03-22
hCoV-19_USA_NY-PRL-2021_03_24_00M21	2021-03-22
hCoV-19_USA_NY-PRL-2021_03_23_00F08	2021-03-22
hCoV-19_USA_NY-PRL-2021_03_05_00B16	2021-03-03
hCoV-19_USA_NJ-CDC-LC0036168	2021-03-27
hCoV-19_USA_NY-PRL-2021_0413_00L12	2021-04-12
hCoV-19_USA_NY-PRL-2021_03_15_01B21	2021-03-13
hCoV-19_USA_NY-PRL-2021_03_29_02O04	2021-03-26
hCoV-19_Spain_CM-ISCIII-212465	2021-03-09
hCoV-19_USA_CT-CDC-LC0040297	2021-04-04
hCoV-19_USA_CT-CDC-QDX23205072	2021-03-21
hCoV-19_USA_CT-Yale-3055	2021-03-25
hCoV-19_USA_CT-CDC-QDX23314121	2021-03-26
hCoV-19_USA_NY-NYCPHL-003936	2021-03-17
hCoV-19_USA_NY-NYULH906	2021-03-08
hCoV-19_USA_NY-PRL-2021_03_12_00B03	2021-03-10
hCoV-19_USA_NY-NYULH1126	2021-04-02
hCoV-19_USA_CT-CDC-QDX23678347	2021-04-05
hCoV-19_USA_CT-CDC-LC0040104	2021-04-05
hCoV-19_USA_CT-Yale-2173	2021-03-06
hCoV-19_USA_NY-PRL-2021_0409_00G08	2021-04-08
hCoV-19_USA_OK-CDC-LC0043629	2021-04-05
hCoV-19_USA_CT-Yale-3194	2021-03-26
hCoV-19_USA_CT-Yale-2451	2021-03-09
hCoV-19_USA_CT-Yale-2152	2021-03-07
hCoV-19_USA_NJ-CDC-2-4123039	2021-03-23
hCoV-19_USA_NY-Wadsworth-21028854-01	2021-03-01
hCoV-19_USA_NY-PRL-2021_03_22_01H01	2021-03-20
hCoV-19_USA_NY-CDC-QDX23235481	2021-03-17
